Date,Open,High,Low,Close,Adj Close,Volume
2008-11-13,4.550000,5.050000,4.500000,5.050000,3.552587,84300
2008-11-14,4.850000,4.850000,4.450000,4.460000,3.137532,71000
2008-11-17,4.660000,4.800000,4.510000,4.540000,3.193810,113000
2008-11-18,4.520000,4.740000,4.480000,4.510000,3.216640,43300
2008-11-19,4.850000,4.850000,4.310000,4.310000,3.073996,92600
2008-11-20,4.200000,4.440000,4.050000,4.060000,2.895690,29600
2008-11-21,4.350000,4.600000,4.210000,4.600000,3.280832,45200
2008-11-24,4.500000,4.850000,4.500000,4.800000,3.423476,12200
2008-11-25,4.500000,4.660000,4.460000,4.660000,3.323625,10800
2008-11-26,4.380000,4.750000,4.380000,4.750000,3.387815,17900
2008-11-28,4.750000,4.750000,4.530000,4.740000,3.380684,14400
2008-12-01,4.640000,4.850000,4.560000,4.560000,3.252302,17700
2008-12-02,4.700000,4.960000,4.700000,4.900000,3.494798,18900
2008-12-03,4.450000,4.750000,4.450000,4.750000,3.387815,13400
2008-12-04,4.640000,4.690000,4.470000,4.470000,3.188112,89900
2008-12-05,4.460000,4.590000,4.400000,4.550000,3.245170,22600
2008-12-08,4.600000,4.950000,4.600000,4.730000,3.373551,29000
2008-12-09,4.300000,4.600000,4.300000,4.450000,3.173847,51600
2008-12-10,5.500000,5.600000,5.500000,5.600000,3.994055,90300
2008-12-11,5.400000,5.700000,5.400000,5.470000,3.901336,76500
2008-12-12,5.100000,5.450000,5.100000,5.450000,3.887071,7500
2008-12-15,5.450000,5.450000,5.210000,5.350000,3.815750,26800
2008-12-16,5.250000,5.500000,5.250000,5.430000,3.872807,18200
2008-12-17,5.700000,5.780000,5.620000,5.760000,4.108171,38000
2008-12-18,5.760000,5.900000,5.690000,5.700000,4.065378,16700
2008-12-19,6.150000,6.200000,6.000000,6.110000,4.357800,85300
2008-12-22,5.600000,5.830000,5.560000,5.620000,4.008321,27900
2008-12-23,5.470000,5.500000,5.370000,5.370000,3.830014,15100
2008-12-24,5.450000,5.520000,5.450000,5.520000,3.936997,1500
2008-12-26,5.470000,5.740000,5.470000,5.740000,4.093907,3800
2008-12-29,5.450000,5.550000,5.450000,5.550000,3.958394,30500
2008-12-30,5.200000,5.400000,5.200000,5.340000,3.808617,31300
2008-12-31,5.340000,5.500000,5.340000,5.500000,3.922733,25900
2009-01-02,5.500000,5.800000,5.500000,5.780000,4.122435,29600
2009-01-05,5.810000,6.000000,5.810000,5.990000,4.272213,20500
2009-01-06,6.550000,6.830000,6.550000,6.750000,4.814263,82600
2009-01-07,6.100000,6.760000,6.060000,6.400000,4.564636,15200
2009-01-08,5.050000,5.050000,4.810000,5.040000,3.594650,41100
2009-01-09,4.510000,4.600000,4.350000,4.490000,3.202376,40400
2009-01-12,4.450000,4.450000,4.260000,4.300000,3.066864,21400
2009-01-13,4.300000,4.450000,4.300000,4.320000,3.081128,17200
2009-01-14,3.900000,3.900000,3.700000,3.800000,2.710252,51600
2009-01-15,3.770000,3.920000,3.720000,3.880000,2.767310,56500
2009-01-16,3.920000,4.100000,3.920000,4.000000,2.852897,14800
2009-01-20,3.880000,3.880000,3.650000,3.690000,2.631797,32000
2009-01-21,3.950000,3.950000,3.710000,3.920000,2.795839,3200
2009-01-22,3.900000,3.900000,3.600000,3.730000,2.660326,36500
2009-01-23,3.500000,3.610000,3.420000,3.590000,2.560475,29800
2009-01-26,3.500000,3.700000,3.500000,3.640000,2.596136,38000
2009-01-27,3.350000,3.750000,3.350000,3.570000,2.546210,35900
2009-01-28,3.520000,3.700000,3.520000,3.700000,2.638930,11600
2009-01-29,3.600000,3.700000,3.600000,3.650000,2.603268,21900
2009-01-30,3.650000,3.770000,3.650000,3.730000,2.660326,4900
2009-02-02,3.500000,3.750000,3.500000,3.620000,2.581871,17900
2009-02-03,3.920000,3.950000,3.750000,3.950000,2.817236,7300
2009-02-04,4.000000,4.000000,3.860000,3.940000,2.810104,28000
2009-02-05,3.660000,3.890000,3.660000,3.850000,2.745913,10600
2009-02-06,4.050000,4.440000,3.940000,4.240000,3.024071,39100
2009-02-09,4.250000,4.250000,4.150000,4.190000,2.988410,10200
2009-02-10,4.400000,4.400000,4.100000,4.100000,2.924220,41800
2009-02-11,4.010000,4.110000,4.010000,4.110000,2.931352,1900
2009-02-12,4.250000,4.250000,4.000000,4.100000,2.924220,7300
2009-02-13,4.100000,4.230000,4.100000,4.140000,2.952748,8300
